theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8
0.355898256349991,0.7297140791424671,0.38707085127145335,0.19919811019455938,0.4998989949728624,0.5095141812104065,0.43856611875883006,0.061275532167253795
0.19919811019455913,0.38707085127145313,0.7297140791424671,0.3558982563499912,0.061275532167253795,0.43856611875883006,0.5095141812104065,0.49989899497286244
0.5001010050271376,0.4904858187895934,0.5614338812411699,0.9387244678327462,0.6441017436500089,0.2702859208575327,0.6129291487285468,0.8008018898054408
0.9387244678327461,0.5614338812411699,0.49048581878959363,0.5001010050271378,0.8008018898054408,0.6129291487285465,0.27028592085753284,0.6441017436500088
0.7582735466120527,0.39593926544736496,0.7049262082885063,0.1822178774335195,0.6726322443216891,0.12022879250507403,0.9858971026097135,0.378621808966007
0.39238590315965605,0.7373301299863753,0.4030566876037511,0.6384436359203038,0.8933515979861841,0.3396855641664321,0.44181127339739934,0.24804203282447282
0.8896335856095658,0.7419323203948113,0.521481679718042,0.9064808584625899,0.7886463088679895,0.5054991150129676,0.02749578303277784,0.5532053215330937
0.90648085846259,0.521481679718042,0.7419323203948113,0.8896335856095658,0.5532053215330938,0.02749578303277784,0.5054991150129676,0.7886463088679894
0.21135369113201055,0.4945008849870325,0.972504216967222,0.4467946784669064,0.110366414390434,0.2580676796051887,0.4785183202819581,0.09351914153741019
0.44679467846690635,0.9725042169672221,0.49450088498703254,0.21135369113201066,0.09351914153741019,0.4785183202819581,0.2580676796051887,0.11036641439043415
0.9342114751368715,0.7709105599994868,0.2125352283067066,0.28287567096118965,0.8905411432193044,0.5462092978849964,0.587600118176162,0.6062501632193641
0.28287567096118943,0.21253522830670651,0.7709105599994868,0.9342114751368716,0.6062501632193641,0.587600118176162,0.5462092978849964,0.8905411432193043
0.10945885678069554,0.4537907021150034,0.4123998818238382,0.3937498367806361,0.0657885248631284,0.22908944000051318,0.7874647716932934,0.7171243290388105
0.39374983678063585,0.41239988182383797,0.45379070211500344,0.10945885678069567,0.7171243290388105,0.7874647716932934,0.22908944000051318,0.0657885248631284
0.8708098053369856,0.8580793153523634,0.5912429110497313,0.6483077618426407,0.7401446641508614,0.15423629372365608,0.3752200866442057,0.8552874639389153
0.6483077618426405,0.5912429110497313,0.8580793153523633,0.8708098053369856,0.8552874639389153,0.3752200866442057,0.15423629372365621,0.7401446641508617
0.25985533584913834,0.8457637062763437,0.6247799133557944,0.14471253606108483,0.1291901946630146,0.14192068464763663,0.40875708895026885,0.35169223815735956
0.14471253606108458,0.6247799133557943,0.8457637062763438,0.25985533584913845,0.35169223815735945,0.40875708895026885,0.14192068464763663,0.12919019466301443
0.9579723893982152,0.8873079244781658,0.1989645903228511,0.48542553832790136,0.574396646598101,0.7397452721471266,0.4688114401060799,0.024511475725603443
0.48542553832790114,0.198964590322851,0.8873079244781656,0.957972389398215,0.024511475725603443,0.4688114401060799,0.7397452721471266,0.5743966465981011
0.42560335340189887,0.2602547278528733,0.5311885598939206,0.9754885242743966,0.04202761060178499,0.11269207552183416,0.8010354096771489,0.514574461672099
0.9754885242743967,0.5311885598939202,0.2602547278528734,0.4256033534018989,0.5145744616720989,0.8010354096771489,0.11269207552183416,0.04202761060178499
0.5966501549237855,0.5424749966753686,0.6237075241397497,0.9328746243154499,0.658572958499393,0.9019379110258949,0.961121232963936,0.4314201328953881
0.9328746243154499,0.6237075241397498,0.5424749966753684,0.5966501549237854,0.4314201328953883,0.961121232963936,0.9019379110258949,0.6585729584993929
0.341427041500607,0.09806208897410505,0.0388787670360639,0.568579867104612,0.40334984507621446,0.45752500332463153,0.37629247586025016,0.0671253756845502
0.5685798671046118,0.03887876703606391,0.09806208897410518,0.3414270415006072,0.0671253756845502,0.37629247586025016,0.45752500332463153,0.4033498450762143
0.7146181492427305,0.34582650681859106,0.35151672941092754,0.3107831773099052,0.7236041238095113,0.7505639730179645,0.3309319136587711,0.11167145378678721
0.31078317730990523,0.3515167294109273,0.3458265068185913,0.7146181492427303,0.11167145378678707,0.3309319136587711,0.7505639730179646,0.7236041238095114
0.27639587619048833,0.24943602698203526,0.669068086341229,0.8883285462132128,0.2853818507572696,0.6541734931814088,0.6484832705890726,0.6892168226900949
0.8883285462132128,0.6690680863412289,0.2494360269820355,0.27639587619048855,0.6892168226900947,0.6484832705890726,0.6541734931814088,0.2853818507572694
0.9300682536461357,0.9486978144201702,0.07954961818684973,0.5918539382513683,0.6622920725976076,0.3542050901340015,0.13210279504061542,0.6847606834484568
0.5918539382513683,0.07954961818684946,0.94869781442017,0.9300682536461355,0.6847606834484569,0.13210279504061542,0.3542050901340015,0.6622920725976075
0.33770792740239236,0.6457949098659982,0.8678972049593844,0.31523931655154336,0.06993174635386452,0.05130218557982978,0.9204503818131504,0.40814606174863166
0.31523931655154314,0.8678972049593846,0.6457949098659984,0.33770792740239264,0.4081460617486318,0.9204503818131504,0.05130218557982978,0.06993174635386454
0.638443635920304,0.40305668760375085,0.7373301299863753,0.392385903159656,0.2480420328244727,0.44181127339739934,0.3396855641664321,0.8933515979861841
0.10664840201381577,0.6603144358335676,0.5581887266026011,0.7519579671755272,0.6076140968403438,0.26266987001362485,0.5969433123962491,0.3615563640796959
0.7519579671755272,0.5581887266026008,0.6603144358335677,0.1066484020138159,0.36155636407969605,0.5969433123962488,0.26266987001362474,0.6076140968403441
0.9267820716594236,0.027364820799865488,0.25468516452196904,0.4782618465018113,0.8885051817899648,0.6162763936123644,0.5254111351652211,0.08334872210927545
0.4782618465018111,0.2546851645219691,0.027364820799865765,0.9267820716594235,0.08334872210927544,0.5254111351652211,0.6162763936123644,0.8885051817899648
0.11149481821003507,0.38372360638763536,0.47458886483477936,0.9166512778907248,0.07321792834057657,0.9726351792001344,0.7453148354780308,0.5217381534981891
0.9166512778907246,0.474588864834779,0.3837236063876354,0.11149481821003518,0.5217381534981889,0.7453148354780308,0.9726351792001344,0.07321792834057657
0.48593560332736974,0.6211904638494586,0.43752504357234273,0.20547190079233274,0.46021007144203296,0.45287754106001704,0.5808783936636868,0.1643599768670546
0.20547190079233266,0.4375250435723428,0.6211904638494586,0.4859356033273698,0.16435997686705447,0.5808783936636868,0.45287754106001704,0.4602100714420328
0.5397899285579671,0.547122458939983,0.4191216063363133,0.8356400231329454,0.51406439667263,0.3788095361505412,0.5624749564276571,0.7945280992076673
0.8356400231329453,0.4191216063363131,0.5471224589399831,0.5397899285579673,0.7945280992076672,0.5624749564276571,0.3788095361505412,0.5140643966726303
0.9783125956814905,0.6896975033721299,0.6077187113698668,0.9650461520445501,0.22674886851745987,0.08761911112775468,0.23242776443254073,0.6289718750690888
0.9650461520445502,0.6077187113698668,0.6896975033721299,0.9783125956814904,0.6289718750690887,0.23242776443254073,0.08761911112775482,0.22674886851745998
